maquinaPropietariaSchedule, maquina, operacion, horaInicio, horaFin, ubicacion, cantidadMaterial, horaInicioHHMMSS, horaFinHHMSS, duracionActividad, tiempoInactivoDesdeActividadAnterior
Truck5,,VIAJE_VACIO,0,1798148,#UB1_4390_EST,0.0,0:0:0,0:29:58,1798148,0
Truck5,PA04,CARGA,1798148,1962924,#UB1_4390_EST,373.0,0:29:58,0:32:42,164776,0
Truck5,,VIAJE_CARGADO,1962924,3674723,#UB1_TRANQUEESPA_EST,373.0,0:32:42,1:1:14,1711799,0
Truck5,,DESCARGA,3674723,3723723,#UB1_TRANQUEESPA_EST,373.0,1:1:14,1:2:3,49000,0
PA04,Truck5,CARGA,1798148,1962924,#UB1_4390_EST,373.0,0:29:58,0:32:42,164776,0
Truck1,,VIAJE_VACIO,0,55565,#RF10A_4270_1012_1,0.0,0:0:0,0:0:55,55565,0
Truck1,PA05,CARGA,55565,112583,#RF10A_4270_1012_1,300.0,0:0:55,0:1:52,57018,0
Truck1,,VIAJE_CARGADO,112583,1475183,#RB2_PUMA2_EST,300.0,0:1:52,0:24:35,1362600,0
Truck1,,DESCARGA,1475183,1542183,#RB2_PUMA2_EST,300.0,0:24:35,0:25:42,67000,0
PA05,Truck1,CARGA,55565,112583,#RF10A_4270_1012_1,300.0,0:0:55,0:1:52,57018,0
Truck8,,VIAJE_VACIO,0,93130,#RF10B_4255_1001_1,0.0,0:0:0,0:1:33,93130,0
Truck8,PA02,CARGA,93130,154906,#RF10B_4255_1001_1,300.0,0:1:33,0:2:34,61776,0
Truck8,,VIAJE_CARGADO,154906,887221,#CS03,300.0,0:2:34,0:14:47,732315,0
Truck8,,DESCARGA,887221,947221,#CS03,300.0,0:14:47,0:15:47,60000,0
PA02,Truck8,CARGA,93130,154906,#RF10B_4255_1001_1,300.0,0:1:33,0:2:34,61776,0
Truck13,,VIAJE_VACIO,0,1047599,#RF10A_4270_1012_1,0.0,0:0:0,0:17:27,1047599,0
Truck13,PA01,CARGA,1047599,1098711,#RF10A_4270_1012_1,300.0,0:17:27,0:18:18,51112,0
Truck13,,VIAJE_CARGADO,1098711,2389595,#RB2_PUMA2_EST,300.0,0:18:18,0:39:49,1290884,0
Truck13,,DESCARGA,2389595,2440595,#RB2_PUMA2_EST,300.0,0:39:49,0:40:40,51000,0
Truck12,,VIAJE_VACIO,0,444960,#RF10B_4255_1001_1,0.0,0:0:0,0:7:24,444960,0
Truck12,PA02,CARGA,444960,506736,#RF10B_4255_1001_1,300.0,0:7:24,0:8:26,61776,0
PA01,Truck13,CARGA,1047599,1098711,#RF10A_4270_1012_1,300.0,0:17:27,0:18:18,51112,0
Truck12,,VIAJE_CARGADO,506736,1202436,#CS03,300.0,0:8:26,0:20:2,695700,0
Truck12,,DESCARGA,1202436,1276436,#CS03,300.0,0:20:2,0:21:16,74000,0
PA02,Truck12,CARGA,444960,506736,#RF10B_4255_1001_1,300.0,0:7:24,0:8:26,61776,290054
Truck4,,VIAJE_VACIO,0,687908,#RF10A_4270_1012_1,0.0,0:0:0,0:11:27,687908,0
Truck4,PA05,CARGA,687908,763932,#RF10A_4270_1012_1,373.0,0:11:27,0:12:43,76024,0
Truck4,,VIAJE_CARGADO,763932,1931874,#RB2_PUMA2_EST,373.0,0:12:43,0:32:11,1167942,0
Truck4,,DESCARGA,1931874,1981874,#RB2_PUMA2_EST,373.0,0:32:11,0:33:1,50000,0
PA05,Truck4,CARGA,687908,763932,#RF10A_4270_1012_1,373.0,0:11:27,0:12:43,76024,575325
Truck0,,VIAJE_VACIO,0,867450,#RF10A_4270_1012_1,0.0,0:0:0,0:14:27,867450,0
