timestamp,agent,agentAction,sender,receivers,performative,conversationId,content
2025-03-06 12:23:34.386,Truck2,SEND,Truck2,,REFUSE,CNP-1741274614348,hay que abrir DOP para ver info
2025-03-06 12:23:34.387,Truck7,SEND,Truck7,,REFUSE,CNP-1741274614348,hay que abrir DOP para ver info
2025-03-06 12:23:34.387,PA03,RECEIVE,Truck2,sin receivers,REFUSE,CNP-1741274614348,
2025-03-06 12:23:34.388,PA03,RECEIVE,Truck7,sin receivers,REFUSE,CNP-1741274614348,
2025-03-06 12:23:34.392,Truck2,SEND,Truck2,,REFUSE,CNP-1741274614350,hay que abrir DOP para ver info
2025-03-06 12:23:34.394,Truck2,SEND,Truck2,,REFUSE,CNP-1741274614348,hay que abrir DOP para ver info
2025-03-06 12:23:34.396,Truck7,SEND,Truck7,,REFUSE,CNP-1741274614350,hay que abrir DOP para ver info
2025-03-06 12:23:34.399,PA02,RECEIVE,Truck2,sin receivers,REFUSE,CNP-1741274614350,
2025-03-06 12:23:34.400,Truck2,SEND,Truck2,,REFUSE,CNP-1741274614350,hay que abrir DOP para ver info
2025-03-06 12:23:34.401,Truck7,SEND,Truck7,,REFUSE,CNP-1741274614350,hay que abrir DOP para ver info
2025-03-06 12:23:34.402,PA05,RECEIVE,Truck7,sin receivers,REFUSE,CNP-1741274614350,
2025-03-06 12:23:34.402,PA04,RECEIVE,Truck2,sin receivers,REFUSE,CNP-1741274614348,
2025-03-06 12:23:34.403,PA05,RECEIVE,Truck2,sin receivers,REFUSE,CNP-1741274614350,
2025-03-06 12:23:34.405,Truck7,SEND,Truck7,,REFUSE,CNP-1741274614348,hay que abrir DOP para ver info
2025-03-06 12:23:34.406,Truck2,SEND,Truck2,,REFUSE,CNP-1741274614345,hay que abrir DOP para ver info
2025-03-06 12:23:34.406,PA01,RECEIVE,Truck2,sin receivers,REFUSE,CNP-1741274614345,
2025-03-06 12:23:34.406,Truck7,SEND,Truck7,,REFUSE,CNP-1741274614345,hay que abrir DOP para ver info
2025-03-06 12:23:34.409,PA02,RECEIVE,Truck7,sin receivers,REFUSE,CNP-1741274614350,
2025-03-06 12:23:34.410,PA01,RECEIVE,Truck7,sin receivers,REFUSE,CNP-1741274614345,
2025-03-06 12:23:34.412,PA04,RECEIVE,Truck7,sin receivers,REFUSE,CNP-1741274614348,
2025-03-06 12:23:34.421,PA02,SEND,PA02, Truck0 Truck3 Truck4 Truck1 Truck6 Truck5 Truck14 Truck10 Truck11 Truck9 Truck12 Truck13,REJECT-PROPOSAL,CNP-1741274614350,hora de inicio ofertada por pala 0:0:0
2025-03-06 12:23:34.422,Truck3,RECEIVE,PA02,sin receivers,REJECT-PROPOSAL,CNP-1741274614350,hay que abrir DOP para ver info
2025-03-06 12:23:34.422,Truck6,RECEIVE,PA02,sin receivers,REJECT-PROPOSAL,CNP-1741274614350,hay que abrir DOP para ver info
