maquinaPropietariaSchedule, maquina, operacion, horaInicio, horaFin, ubicacion, cantidadMaterial, horaInicioHHMMSS, horaFinHHMSS, duracionActividad, tiempoInactivoDesdeActividadAnterior
Truck5,,VIAJE_VACIO,0,1798148,#UB1_4390_EST,0.0,0:0:0,0:29:58,1798148,0
Truck5,PA03,CARGA,1798148,2068168,#UB1_4390_EST,373.0,0:29:58,0:34:28,270020,0
Truck5,,VIAJE_CARGADO,2068168,3619767,#UB1_TRANQUEBERM_EST,373.0,0:34:28,1:0:19,1551599,0
Truck8,,VIAJE_VACIO,0,93130,#RF10B_4255_1001_1,0.0,0:0:0,0:1:33,93130,0
Truck8,PA02,CARGA,93130,154906,#RF10B_4255_1001_1,300.0,0:1:33,0:2:34,61776,0
Truck1,,VIAJE_VACIO,0,55565,#RF10A_4270_1012_1,0.0,0:0:0,0:0:55,55565,0
Truck8,,VIAJE_CARGADO,154906,887221,#CS03,300.0,0:2:34,0:14:47,732315,0
Truck5,,DESCARGA,3619767,3668767,#UB1_TRANQUEBERM_EST,373.0,1:0:19,1:1:8,49000,0
Truck8,,DESCARGA,887221,947221,#CS03,300.0,0:14:47,0:15:47,60000,0
Truck1,PA01,CARGA,55565,106677,#RF10A_4270_1012_1,300.0,0:0:55,0:1:46,51112,0
Truck1,,VIAJE_CARGADO,106677,1469277,#RB2_PUMA2_EST,300.0,0:1:46,0:24:29,1362600,0
Truck1,,DESCARGA,1469277,1536277,#RB2_PUMA2_EST,300.0,0:24:29,0:25:36,67000,0
PA03,Truck5,CARGA,1798148,2068168,#UB1_4390_EST,373.0,0:29:58,0:34:28,270020,0
PA02,Truck8,CARGA,93130,154906,#RF10B_4255_1001_1,300.0,0:1:33,0:2:34,61776,0
PA01,Truck1,CARGA,55565,106677,#RF10A_4270_1012_1,300.0,0:0:55,0:1:46,51112,0
Truck0,,VIAJE_VACIO,0,2423399,#UB1_4390_EST,0.0,0:0:0,0:40:23,2423399,0
Truck0,PA03,CARGA,2423399,2639415,#UB1_4390_EST,300.0,0:40:23,0:43:59,216016,0
Truck0,,VIAJE_CARGADO,2639415,4363414,#UB1_TRANQUEBERM_EST,300.0,0:43:59,1:12:43,1723999,0
Truck0,,DESCARGA,4363414,4421414,#UB1_TRANQUEBERM_EST,300.0,1:12:43,1:13:41,58000,0
Truck4,,VIAJE_VACIO,0,2008902,#UB1_4390_EST,0.0,0:0:0,0:33:28,2008902,0
Truck4,PA04,CARGA,2008902,2173678,#UB1_4390_EST,373.0,0:33:28,0:36:13,164776,0
Truck4,,VIAJE_CARGADO,2173678,3803963,#UB1_TRANQUEESPA_EST,373.0,0:36:13,1:3:23,1630285,0
Truck4,,DESCARGA,3803963,3853963,#UB1_TRANQUEESPA_EST,373.0,1:3:23,1:4:13,50000,0
PA03,Truck0,CARGA,2423399,2639415,#UB1_4390_EST,300.0,0:40:23,0:43:59,216016,355231
Truck12,,VIAJE_VACIO,0,444960,#RF10B_4255_1001_1,0.0,0:0:0,0:7:24,444960,0
Truck12,PA02,CARGA,444960,506736,#RF10B_4255_1001_1,300.0,0:7:24,0:8:26,61776,0
Truck12,,VIAJE_CARGADO,506736,1202436,#CS03,300.0,0:8:26,0:20:2,695700,0
Truck12,,DESCARGA,1202436,1276436,#CS03,300.0,0:20:2,0:21:16,74000,0
PA04,Truck4,CARGA,2008902,2173678,#UB1_4390_EST,373.0,0:33:28,0:36:13,164776,0
PA02,Truck12,CARGA,444960,506736,#RF10B_4255_1001_1,300.0,0:7:24,0:8:26,61776,290054
Truck14,,VIAJE_VACIO,0,564199,#RF10B_4255_1001_1,0.0,0:0:0,0:9:24,564199,0
Truck9,,VIAJE_VACIO,0,3218400,#UB1_4390_EST,0.0,0:0:0,0:53:38,3218400,0
Truck14,PA02,CARGA,564199,625975,#RF10B_4255_1001_1,300.0,0:9:24,0:10:25,61776,0
Truck11,,VIAJE_VACIO,0,2443466,#UB1_4390_EST,0.0,0:0:0,0:40:43,2443466,0
Truck11,PA04,CARGA,2443466,2587645,#UB1_4390_EST,300.0,0:40:43,0:43:7,144179,0
Truck9,PA03,CARGA,3218400,3434416,#UB1_4390_EST,300.0,0:53:38,0:57:14,216016,0
Truck11,,VIAJE_CARGADO,2587645,4389539,#UB1_TRANQUEESPA_EST,300.0,0:43:7,1:13:9,1801894,0
Truck14,,VIAJE_CARGADO,625975,1358290,#CS03,300.0,0:10:25,0:22:38,732315,0
Truck11,,DESCARGA,4389539,4424539,#UB1_TRANQUEESPA_EST,300.0,1:13:9,1:13:44,35000,0
Truck9,,VIAJE_CARGADO,3434416,5158415,#UB1_TRANQUEBERM_EST,300.0,0:57:14,1:25:58,1723999,0
Truck14,,DESCARGA,1358290,1433290,#CS03,300.0,0:22:38,0:23:53,75000,0
Truck9,,DESCARGA,5158415,5189415,#UB1_TRANQUEBERM_EST,300.0,1:25:58,1:26:29,31000,0
PA04,Truck11,CARGA,2443466,2587645,#UB1_4390_EST,300.0,0:40:43,0:43:7,144179,269788
PA02,Truck14,CARGA,564199,625975,#RF10B_4255_1001_1,300.0,0:9:24,0:10:25,61776,57463
PA03,Truck9,CARGA,3218400,3434416,#UB1_4390_EST,300.0,0:53:38,0:57:14,216016,578985
Truck6,,VIAJE_VACIO,0,845333,#RF10B_4255_1001_1,0.0,0:0:0,0:14:5,845333,0
Truck6,PA02,CARGA,845333,922553,#RF10B_4255_1001_1,373.0,0:14:5,0:15:22,77220,0
Truck6,,VIAJE_CARGADO,922553,1585124,#CS03,373.0,0:15:22,0:26:25,662571,0
Truck6,,DESCARGA,1585124,1629124,#CS03,373.0,0:26:25,0:27:9,44000,0
Truck10,,VIAJE_VACIO,0,3449800,#UB1_4390_EST,0.0,0:0:0,0:57:29,3449800,0
Truck10,PA03,CARGA,3449800,3665816,#UB1_4390_EST,300.0,0:57:29,1:1:5,216016,0
PA02,Truck6,CARGA,845333,922553,#RF10B_4255_1001_1,373.0,0:14:5,0:15:22,77220,219358
Truck10,,VIAJE_CARGADO,3665816,5217415,#UB1_TRANQUEBERM_EST,300.0,1:1:5,1:26:57,1551599,0
Truck10,,DESCARGA,5217415,5304415,#UB1_TRANQUEBERM_EST,300.0,1:26:57,1:28:24,87000,0
PA03,Truck10,CARGA,3449800,3665816,#UB1_4390_EST,300.0,0:57:29,1:1:5,216016,15384
Truck13,,VIAJE_VACIO,0,1086479,#RF10B_4255_1001_1,0.0,0:0:0,0:18:6,1086479,0
Truck13,PA02,CARGA,1086479,1148255,#RF10B_4255_1001_1,300.0,0:18:6,0:19:8,61776,0
Truck13,,VIAJE_CARGADO,1148255,1880570,#CS03,300.0,0:19:8,0:31:20,732315,0
Truck13,,DESCARGA,1880570,1931570,#CS03,300.0,0:31:20,0:32:11,51000,0
PA02,Truck13,CARGA,1086479,1148255,#RF10B_4255_1001_1,300.0,0:18:6,0:19:8,61776,163926
Truck8,,VIAJE_VACIO,1120616,3665816,#UB1_4390_EST,0.0,0:18:40,1:1:5,2545200,173395
Truck3,,VIAJE_VACIO,0,4074000,#UB1_4390_EST,0.0,0:0:0,1:7:54,4074000,0
Truck8,PA03,CARGA,3665816,3881832,#UB1_4390_EST,300.0,1:1:5,1:4:41,216016,0
Truck3,PA04,CARGA,4074000,4238776,#UB1_4390_EST,373.0,1:7:54,1:10:38,164776,0
Truck8,,VIAJE_CARGADO,3881832,5515095,#UB1_TRANQUEBERM_EST,300.0,1:4:41,1:31:55,1633263,0
Truck3,,VIAJE_CARGADO,4238776,5665275,#UB1_TRANQUEESPA_EST,373.0,1:10:38,1:34:25,1426499,0
Truck8,,DESCARGA,5515095,5575095,#UB1_TRANQUEBERM_EST,300.0,1:31:55,1:32:55,60000,0
Truck3,,DESCARGA,5665275,5706275,#UB1_TRANQUEESPA_EST,373.0,1:34:25,1:35:6,41000,0
PA03,Truck8,CARGA,3665816,3881832,#UB1_4390_EST,300.0,1:1:5,1:4:41,216016,0
PA04,Truck3,CARGA,4074000,4238776,#UB1_4390_EST,373.0,1:7:54,1:10:38,164776,1486355
Truck12,,VIAJE_VACIO,1540248,3881832,#UB1_4390_EST,0.0,0:25:40,1:4:41,2341584,263812
Truck12,PA03,CARGA,3881832,4097848,#UB1_4390_EST,300.0,1:4:41,1:8:17,216016,0
Truck12,,VIAJE_CARGADO,4097848,5649447,#UB1_TRANQUEBERM_EST,300.0,1:8:17,1:34:9,1551599,0
Truck12,,DESCARGA,5649447,5723447,#UB1_TRANQUEBERM_EST,300.0,1:34:9,1:35:23,74000,0
PA03,Truck12,CARGA,3881832,4097848,#UB1_4390_EST,300.0,1:4:41,1:8:17,216016,0
Truck6,,VIAJE_VACIO,1929715,4097848,#UB1_4390_EST,0.0,0:32:9,1:8:17,2168133,300591
Truck6,PA03,CARGA,4097848,4367868,#UB1_4390_EST,373.0,1:8:17,1:12:47,270020,0
Truck6,,VIAJE_CARGADO,4367868,5845582,#UB1_TRANQUEBERM_EST,373.0,1:12:47,1:37:25,1477714,0
Truck6,,DESCARGA,5845582,5889582,#UB1_TRANQUEBERM_EST,373.0,1:37:25,1:38:9,44000,0
